講義名,開講期間,曜日・時限,講義室,URL,講義室（改良）
地圏科学Ⅱ　月２・水２の週２回授業,第1,月2,工-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76110_ja_JP.html,全学講義棟 2-301
水理学Ⅰ　月２・水２の週２回授業,第1,月2,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76230_ja_JP.html,全学講義棟 3-101
英語Ⅱ(Academic English Skills 2a)　AES 教養S01　第1ターム,第1,月2,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12107_ja_JP.html,全学講義棟 2-101
英語Ⅱ(Academic English Skills 2a)　AES 教養S02　第1ターム,第1,月2,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12108_ja_JP.html,全学講義棟 1-403
英語Ⅱ(Academic English Skills 2a)　AES 教養S03　第1ターム,第1,月2,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12109_ja_JP.html,全学講義棟 1-401
英語Ⅱ(Academic English Skills 2a)　AES 教養S04　第1ターム,第1,月2,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12110_ja_JP.html,全学講義棟 1-202
英語Ⅱ(Academic English Skills 2a)　AES 経済S01　第1ターム,第1,月2,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12111_ja_JP.html,全学講義棟 1-303
英語Ⅱ(Academic English Skills 2a)　AES 経済S02　第1ターム,第1,月2,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12112_ja_JP.html,全学講義棟 1-402
AL1（プログラミング入門）　第１ターム 月２,第1,月2,工学部情報工学科棟-端末演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ650011_ja_JP.html,全学講義棟 3-202
英語Ⅰ(Academic Communication Skills 1a)　ACS 第1ターム　月２・水２,第1,月2,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11502_ja_JP.html,全学講義棟 1-301
英語Ⅰ(Academic Essay Writing 1a)　AEW 第1ターム 月２・水２,第1,月2,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11601_ja_JP.html,全学講義棟 1-305
日本語Ⅰa(読解),第1,月2,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28111_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
哲学概説　第１ターム 月２・水２,第1,月2,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ100011_ja_JP.html,全学講義棟 1-205
西洋史概説　第１ターム 月２・水２,第1,月2,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ103311_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
アジア文学・文化概説　第１ターム 月２・水２,第1,月2,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ106111_ja_JP.html,全学講義棟 1-204
日本語C(読解) a,第1,月2,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200104_ja_JP.html,工-セミナー室7
日本語D(読解) a,第1,月2,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200107_ja_JP.html,全学講義棟 1-304
日本語B(総合) a,第1,月2,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200102_ja_JP.html,全学講義棟 1-203
日本語A(総合) a,第1,月2,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200101_ja_JP.html,全学講義棟 2-103
教科指導の課題探求　共通科目、第１ターム,第1,月2,教育Ａ１１０講義室（教職大学院講義室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10025_ja_JP.html,工-12
教育経営の課題探求　共通科目、第１ターム,第1,月2,教育Ａ４２７講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/1806/1806_W10045_ja_JP.html,工-52
材料工学特論,第1,月2,工-54,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40170_ja_JP.html,全学講義棟 2-502
構造振動論(E),第1,月2,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50110_ja_JP.html,全学講義棟 2-302
プレゼミ　第１ターム,第1,月3,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01210_ja_JP.html,理-9番講義室
プレゼミ　第１ターム,第1,月3,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01212_ja_JP.html,経-A301
プレゼミ　第１ターム,第1,月3,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01215_ja_JP.html,経-A302
国際経営論　第１ターム,第1,月3,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03101_ja_JP.html,理-8番講義室
生産加工学　月３・水３の週２回授業,第1,月3,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71250_ja_JP.html,全学講義棟 2-402
基本情報技術概論Ⅰ　月３・水３の週２回授業,第1,月3,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0523/0523_T73220_ja_JP.html,工-21
建設材料工学　月３・水３の週２回授業,第1,月3,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76190_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
英語Ⅰ(General English Skills 1a)　GES 教育F01　第1ターム,第1,月3,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11101_ja_JP.html,全学講義棟 2-101
英語Ⅰ(General English Skills 1a)　GES 教育F02　第1ターム,第1,月3,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11102_ja_JP.html,全学講義棟 2-202
英語Ⅰ(General English Skills 1a)　GES 教育F03　第1ターム,第1,月3,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11103_ja_JP.html,全学講義棟 2-203
英語Ⅰ(General English Skills 1a)　GES 教育F04　第1ターム,第1,月3,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11104_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
英語Ⅰ(General English Skills 1a)　GES 教育F05　第1ターム,第1,月3,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11105_ja_JP.html,全学講義棟 2-201
英語Ⅰ(General English Skills 1a)　GES 教育F06　第1ターム,第1,月3,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11106_ja_JP.html,全学講義棟 1-203
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　月３・水３,第1,月3,全学講義棟 1-305,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11402_ja_JP.html,全学講義棟 1-305
英語Ⅰ(Academic Essay Writing 1a)　AEW 第1ターム　月３・水３,第1,月3,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11602_ja_JP.html,全学講義棟 2-102
ヨーロッパ社会史Ⅱ,第1,月3,教養学部401演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC124420_ja_JP.html,理-1番講義室
水圏数値解析学(E),第1,月3,コース指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50150_ja_JP.html,全学講義棟 1-202
河川環境工学特論,第1,月3,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/250005/250005_D50180_ja_JP.html,経-A304
特別活動論　第1ターム、小（国・英・家）・中（国・英・家）・特・副,第1,月4,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y44071_ja_JP.html,全学講義棟 3-101
経済政策論　第１ターム,第1,月4,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02112_ja_JP.html,全学講義棟 1-206
国際比較経営論　第１ターム,第1,月4,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03108_ja_JP.html,全学講義棟 1-207
会社法　第１ターム,第1,月4,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05108_ja_JP.html,工-32
材料工学Ⅱ　月４・水４の週２回授業,第1,月4,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71310_ja_JP.html,全学講義棟 2-102
構造力学Ⅰ　月４・水４の週２回授業,第1,月4,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76160_ja_JP.html,全学講義棟 1-301
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　月４・水４,第1,月4,全学講義棟 1-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11403_ja_JP.html,全学講義棟 1-203
英語Ⅰ(Academic Communication Skills 1a)　ACS 第1ターム　月４・水４,第1,月4,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11503_ja_JP.html,全学講義棟 1-303
ヨーロッパ社会史Ⅱ,第1,月4,教養学部401演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC124420_ja_JP.html,"工-21, 工-22"
初等家庭科概説　第1ターム、小（算・理・も・家）・副2年以上,第1,月5,教育Ａ２１０講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24010_ja_JP.html,全学講義棟 2-102
初等家庭科概説　第1ターム、小心・特・副2年以上,第1,月5,教育Ｃ１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y24011_ja_JP.html,全学講義棟 2-202
経済政策論　第１ターム,第1,月5,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02112_ja_JP.html,全学講義棟 1-205
国際比較経営論　第１ターム,第1,月5,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03108_ja_JP.html,全学講義棟 1-206
会社法　第１ターム,第1,月5,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05108_ja_JP.html,全学講義棟 2-501
政治経済学研究法,第1,火1,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F12012_ja_JP.html,全学講義棟 1-206
社会保障論　第１ターム,第1,火1,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03110_ja_JP.html,全学講義棟 1-205
行政学　第１ターム,第1,火1,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05103_ja_JP.html,工-12
英語Ⅱ(Academic English Skills 2a)　AES 工S01　第1ターム,第1,火1,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12114_ja_JP.html,全学講義棟 2-101
英語Ⅱ(Academic English Skills 2a)　AES 工S02　第1ターム,第1,火1,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12115_ja_JP.html,全学講義棟 1-403
英語Ⅱ(Academic English Skills 2a)　AES 工S03　第1ターム,第1,火1,全学講義棟 1-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12116_ja_JP.html,全学講義棟 1-201
英語Ⅱ(Academic English Skills 2a)　AES 工S04　第1ターム,第1,火1,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12117_ja_JP.html,全学講義棟 1-304
英語Ⅱ(Academic English Skills 2a)　AES 工S05　第1ターム,第1,火1,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12118_ja_JP.html,全学講義棟 1-402
英語Ⅱ(Academic English Skills 2a)　AES 工S06　第1ターム,第1,火1,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12119_ja_JP.html,全学講義棟 1-401
英語Ⅰ(Academic Essay Writing 1a)　AEW 第1ターム　火１・木１,第1,火1,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11603_ja_JP.html,全学講義棟 1-302
英語Ⅱ(English for Specific Purposes 2a)　ESP 第1ターム　火１・木１,第1,火1,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12401_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
日本語Ⅱa(文章作成),第1,火1,全学講義棟 3-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28213_ja_JP.html,全学講義棟 2-102
日本史概説　第１ターム 火１・木１,第1,火1,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ103111_ja_JP.html,全学講義棟 1-204
経営学概説　第１ターム 火１・木１,第1,火1,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ203111_ja_JP.html,全学講義棟 1-203
工学と社会（機械工学系）　第１ターム 火１・木１,第1,火1,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302111_ja_JP.html,全学講義棟 1-207
英語Ⅱ(Academic Communication Skills 2a)　ACS 第1ターム　火１・金１,第1,火1,全学講義棟 2-101,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12501_ja_JP.html,全学講義棟 1-301
日本語C(聴解・会話) a,第1,火1,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200103_ja_JP.html,全学講義棟 3-201
日本語D(聴解・会話) a,第1,火1,全学講義棟 2-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200106_ja_JP.html,全学講義棟 1-303
日本語E(文法) a,第1,火1,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200110_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
日本語B(総合) a,第1,火1,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200102_ja_JP.html,全学講義棟 1-202
日本語A(総合) a,第1,火1,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200101_ja_JP.html,全学講義棟 2-103
地理情報科学特論,第1,火1,工学部情報工学科棟-端末演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240303/240303_MM33170_ja_JP.html,全学講義棟 2-301
機械運動学特論,第1,火1,工-53,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40190_ja_JP.html,全学講義棟 2-202
政治経済学研究法,第1,火2,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F12012_ja_JP.html,全学講義棟 1-303
日本史演習Ⅴ,第1,火2,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F36095_ja_JP.html,工-演習室3
社会保障論　第１ターム,第1,火2,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03110_ja_JP.html,"全学講義棟 1-301, 情報メディア端末室(1), 情報メディア端末室(2)"
行政学　第１ターム,第1,火2,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05103_ja_JP.html,理-1番講義室
日本建築史,第1,火2,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76580_ja_JP.html,全学講義棟 1-401
計測工学　火２・金４の週２回授業,第1,火2,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71110_ja_JP.html,工-12
工業力学　火２・木２の週２回授業,第1,火2,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71010_ja_JP.html,全学講義棟 2-502
制御工学Ⅱ　火２・木２の週２回授業,第1,火2,工-54,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71390_ja_JP.html,工-11
マイクロ・ナノ加工学　火２・木２の週２回授業,第1,火2,工-演習室3,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71530_ja_JP.html,工-23
コンクリート工学Ⅱ　火２・木２の週２回授業,第1,火2,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76210_ja_JP.html,全学講義棟 3-202
英語Ⅰ(General English Skills 1a)　GES 教養F02　第1ターム,第1,火2,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11109_ja_JP.html,全学講義棟 2-201
英語Ⅰ(General English Skills 1a)　GES 教養F03　第1ターム,第1,火2,全学講義棟 1-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11110_ja_JP.html,全学講義棟 1-203
英語Ⅰ(General English Skills 1a)　GES 教養F04　第1ターム,第1,火2,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11111_ja_JP.html,"全学講義棟 2-103, 全学講義棟 3-203"
英語Ⅰ(General English Skills 1a)　GES 経済F01　第1ターム,第1,火2,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11112_ja_JP.html,全学講義棟 2-102
英語Ⅰ(General English Skills 1a)　GES 経済F02+再履生　第1ターム,第1,火2,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11113_ja_JP.html,全学講義棟 2-202
英語Ⅰ(Academic Communication Skills 1a)　ACS 第1ターム　火２・木２,第1,火2,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11504_ja_JP.html,全学講義棟 1-403
英語Ⅱ(Academic Essay Writing 2a)　AEW 第1ターム　火２・木２,第1,火2,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12601_ja_JP.html,全学講義棟 2-101
日本語Ⅱa(聴解),第1,火2,全学講義棟 3-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28211_ja_JP.html,全学講義棟 2-302
言語学概説　第１ターム 火２・木２,第1,火2,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ105013_ja_JP.html,全学講義棟 1-301
会計学概説　第１ターム 火２・木２,第1,火2,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ203211_ja_JP.html,全学講義棟 1-207
統計学入門　第１ターム 火２・木２,第1,火2,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ208111_ja_JP.html,全学講義棟 1-305
テキストマイニング入門　第１ターム 火２・木２,第1,火2,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ500181_ja_JP.html,全学講義棟 1-206
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　火２・金２,第1,火2,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11404_ja_JP.html,全学講義棟 2-203
日本語C(聴解・会話) a,第1,火2,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200103_ja_JP.html,"工-演習室1, 情報メディア端末室(2), 工-50, 電気電子実験室"
日本語E(聴解・会話) a,第1,火2,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200109_ja_JP.html,全学講義棟 2-402
日本語B(総合) a,第1,火2,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200102_ja_JP.html,全学講義棟 1-205
日本語A(総合) a,第1,火2,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200101_ja_JP.html,全学講義棟 2-401
地理情報科学特論,第1,火2,工学部情報工学科棟-端末演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240303/240303_MM33170_ja_JP.html,工-31
機械システムダイナミクス特論,第1,火2,工-セミナー室8,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40270_ja_JP.html,工-22
